tags,pilates,name,location,avg_rating,num_ratings
"['yoga', ' pilates']",True,Fold Leyton,"691 High Road Leyton, London",4.8,(2500+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"MoreYoga, London",4.7,(5000+)
"['yoga', ' pilates', ' …']",True,Soma Space,"3 Honor Oak Park, London",4.9,(1000+)
"['gym time', ' strength training', ' …']",False,Instagym,"193-201 Stoke Newington High Street, London",4.9,(1000+)
"['yoga', ' pilates']",True,The Good Rooms,"56 Muswell Hill, London",4.8,(2500+)
"['gym time', ' strength training', ' …']",False,Southbank Club,"Southbank Club, 124-130 Wandsworth Rd, London",4.6,(5000+)
"['gym time', ' strength training', ' …']",False,Gymbox,"Unit 15 Dickens Yard, Longfield Ave, London",4.8,(2500+)
"['yoga', ' meditation', ' …']",False,MoreYoga,"21 Essex Road, London",4.6,(7500+)
['pilates'],True,Collective Pilates,"64 Porchester Rd, London",4.7,(30000+)
"['gym time', ' strength training', ' …']",False,Gymbox,"71 Lombard St, London",4.6,(2500+)
"['gym time', ' strength training', ' …']",False,Fitness4Less,"Cambridge Heath Road, London",4.7,(1000+)
"['gym time', ' strength training', ' …']",False,Fitness First,"105-109 Salisbury Road, Kilburn, London",4.7,(2500+)
"['gym time', ' strength training', ' …']",False,Fitness First,"6 Bedford St, Covent Garden, London WC2E 9HD, London",4.7,(5000+)
"['yoga', ' pilates', ' …']",True,hum yoga & meditation,"Unit 7, Block M Lyell Street, London",4.9,(2500+)
"['pilates', ' yoga', ' …']",True,East of Eden,"12-15 Hatherley Mews, London",4.7,(22500+)
['pilates'],True,MAD | Chelsea,"77 King's Road, London",4.9,(20000+)
"['yoga', ' pilates']",True,MoreYoga,"Copperas Street Unit 4, London",4.7,(5000+)
"['pilates', ' yoga']",True,Physico,"51 Beckenham Lane, Bromley",4.9,(500+)
"['gym time', ' strength training', ' …']",False,Fitness First,"Blue Star House, 234-244, Stockwell Road, London",4.6,(5000+)
"['strength training', ' cycling', ' …']",False,Majestic Fitness,"1 Dairy Court Orchard Road, Richmond, London",4.8,(2500+)
['pilates'],True,Refine Pilates Limited,"2nd Floor, 13 Artillery Lane, London",4.8,(1000+)
"['gym time', ' strength training', ' …']",False,Gymbox,"Westfield Stratford City6a Chestnut Place, London",4.6,(5000+)
"['yoga', ' meditation', ' …']",False,MoreYoga,"4-6 High Rd, London",4.7,(5000+)
"['strength training', ' pilates', ' …']",True,Guardians Studios,"Camden Market stables, London",4.9,(1000+)
"['yoga', ' pilates']",True,Core Clapton,"161 Northwold Rd, London",4.7,(5000+)
"['yoga', ' pilates']",True,MoreYoga,"22 Stoke Newington High St, London",4.6,(5000+)
"['gym time', ' swimming', ' …']",False,Fitness First,"26 Hammersmith Grove, London",4.7,(5000+)
"['yoga', ' pilates', ' …']",True,Moreyoga,"Unit 7, Weaver Walk, Wembley, London",4.7,(2500+)
"['gym time', ' strength training', ' …']",False,Gymbox,"100 High Holborn, London",4.6,(2500+)
"['gym time', ' strength training', ' …']",False,Fitness First,"106 Fenchurch Street, London",4.7,(2500+)
"['pilates', ' strength training', ' …']",True,Oncore,"65 Clapham Park Rd, London",4.8,(30000+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"Booth Court Thurston Road Unit 7, London",4.7,(2500+)
"['swimming', ' gym time', ' …']",False,Fitness First,"47 Bishopsgate, London",4.7,(5000+)
"['gym time', ' strength training', ' …']",False,Anytime Fitness,"361, 373 City Rd, London",4.8,(1000+)
['pilates'],True,Peak Pilates,"1A Hall Lane, London",4.8,(1000+)
"['cycling', ' strength training', ' …']",False,FitFor,"116 Lordship Ln, London",4.5,(7500+)
"['yoga', ' barre', ' …']",False,Oru Space,"7 Throwley Way, Sutton",4.9,(500+)
"['yoga', ' pilates', ' …']",True,Light Centre,"9 Eccleston St, London",4.6,(17500+)
"['strength training', ' stretching', ' …']",False,Synergy Personal Training Studio,"Unit 21 , Cranford Way, London",4.8,(1000+)
"['strength training', ' cycling', ' …']",False,H2 Clubs,"H2 Clubs Victoria, 10 Bressenden Pl, London",4.6,(10000+)
['pilates'],True,Reform Physio and Pilates,"3 Hildreth Street Mews, London",4.8,(2500+)
"['pilates', ' strength training', ' …']",True,FS8,"23-35 Great Titchfield St., London",4.6,(2500+)
"['gym time', ' strength training', ' …']",False,Fitness First,"7 Streatham High Rd, London",4.6,(7500+)
"['swimming', ' gym time', ' …']",False,Fitness First,"Thomas More Street, London",4.7,(5000+)
"['strength training', ' pilates', ' …']",True,The Shredquarters,"The Shredquarters Wandsworth, Meridian House, Battersea Reach, York Road, London",4.8,(500+)
"['yoga', ' pilates', ' …']",True,MIND Yoga and Pilates,"53 Dartmouth Road, London",4.9,(500+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"223 Vauxhall Bridge Road, London",4.6,(5000+)
"['gym time', ' strength training', ' …']",False,Gymbox,"Westfield Shopping Centre, London",4.6,(2500+)
"['yoga', ' meditation', ' …']",False,Mica Yoga,"16-18 Gibbon Road, London",4.9,(500+)
"['gym time', ' strength training', ' …']",False,Fitness First,"15 Great Marlborough St, Soho, London W1F 7HR, London",4.7,(5000+)
"['pilates', ' strength training']",True,High Vibe,"62 Elm Park, London",4.8,(1000+)
"['strength training', ' pilates', ' …']",True,Body By Ciara,"58a Hillfield Park Mews, London",5.0,(100+)
"['strength training', ' cycling', ' …']",False,GYM NATION,"26 Druid St, London",4.7,(1000+)
"['strength training', ' pilates', ' …']",True,Bourne Fitness,"Grange Mills Weir Road, Unit 6, London",5.0,(100+)
"['yoga', ' pilates']",True,MoreYoga,"15 Marshall Street, London",4.6,(5000+)
"['strength training', ' dance', ' …']",False,Crouch End Fitness Centre,"184 Tottenham Ln,, London",4.8,(1000+)
"['yoga', ' pilates']",True,MoreYoga,"331 Ballards Ln, North Finchley, London",4.8,(1000+)
"['pilates', ' barre', ' …']",True,Studio Soma,"36 Crimscott Street, London",4.9,(100+)
['pilates'],True,Flowing Body Pilates,"82 Stoke Newington High St, London",4.7,(2500+)
"['strength training', ' barre', ' …']",False,MAD Fitness Studio,"5 Main Road, Sidcup",4.9,(500+)
"['gym time', ' yoga', ' …']",False,Fit This,"3 Reading Lane Hackney, London",4.7,(500+)
['pilates'],True,Stone Fitness,"10 Kendrick Mews, London",4.8,(500+)
"['yoga', ' pilates', ' …']",True,Light Centre,"36 St Mary at Hill, London",4.6,(17500+)
"['strength training', ' pilates', ' …']",True,TRIBES,"96A Clifton Hill, London",4.9,(500+)
"['pilates', ' boxing']",True,Posture London,"107 Station Road, West Wickham",5.0,(100+)
"['gym time', ' strength training', ' …']",False,CrossFit Putney,"243-251 Putney Bridge Road, London",4.8,(1000+)
"['cycling', ' strength training', ' …']",False,Spin,"386 Lee High Road, London, London",4.9,(500+)
"['yoga', ' pilates', ' …']",True,The Yoga Mela Ltd,"239 Selhurst Road, London",4.8,(1000+)
"['strength training', ' cycling', ' …']",False,Bounce Gym,"The CrescentWimbledon Park, London",4.9,(1000+)
"['strength training', ' boxing', ' …']",False,Lifelab,"Foxbury Avenue, Chislehurst BR7 6SD, UK, Chislehurst",5.0,(100+)
"['swimming', ' pilates', ' …']",True,The MAQAM,"69 Wrentham Avenue Queen's Park, London",4.7,(1000+)
"['strength training', ' boxing', ' …']",False,FitBirds,"7 Ledrington Rd, London",5.0,(500+)
"['yoga', ' pilates', ' …']",True,bhuti,"Bingham Riverhouse, 61-63 Petersham Rd , Richmond",4.7,(10000+)
"['gym time', ' strength training', ' …']",False,Gymbox,"201A Old Street, London",4.6,(2500+)
['pilates'],True,Innersculpt Pilates,"63 High Street, West Wickham",4.9,(100+)
['pilates'],True,Reformer LDN,"Reformer LDN, Unit 1.2, 2B, Shoreditch Exchange, Rosewood Building, Gorsuch Pl, London",4.8,(100+)
"['pilates', ' strength training', ' …']",True,Basebox,"4 New Pond Parade, West End Road, Ruislip",4.9,(1000+)
"['yoga', ' pilates']",True,MoreYoga,2A Bayham St,4.6,(2500+)
"['pilates', ' yoga']",True,Blanc Space Studios,"130 Walham Green Court, London",4.9,(100+)
"['strength training', ' yoga', ' …']",False,SWeat19,"265-269 Wimbledon Park Road, London",4.9,(1000+)
"['yoga', ' barre', ' …']",False,MakeYoga Ltd,"64 Highgate High Street, London",4.9,(100+)
"['yoga', ' pilates', ' …']",True,Motion London,"Studio 17, Cornerstone Studios, 1 Addington Square, London",4.8,(100+)
['pilates'],True,Reform Yourself Pilates,"Room 2 Davenports Hair & Beauty Salon 23a High Street, Dartford",4.9,(100+)
['pilates'],True,Enmei,"143-145 Fulham Road, London",4.8,(100+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"Unit 2, Delta Point Wellesley Road, Croydon",4.8,(1000+)
"['yoga', ' pilates', ' …']",True,Deva Yoga,"12, Belmont Parade, Green Lane, Chislehurst",4.9,(1000+)
"['yoga', ' pilates', ' …']",True,MoreYoga,"784 Green Lanes, London",4.7,(1000+)
"['yoga', ' strength training', ' …']",False,Loom Club,"Loom Club Unit 23 The Ivories, London",4.8,(100+)
"['strength training', ' personal training', ' …']",False,Built London,"Unit 113, Anerley Works, 183a Anerley Rd, London",5.0,(500+)
"['gym time', ' strength training', ' …']",False,Fitness First,"95 Queen Victoria St, London",4.6,(1000+)
"['pilates', ' personal training']",True,Flex Pilates Reformer,"8 Sienna Plac, Honor Oak Park, London",4.9,(500+)
"['pilates', ' strength training']",True,FS8,"First Floor, 1-7 Morris Place, Finsbury Park, London",4.7,(100+)
['pilates'],True,Hypecore Pilates,"47-50 Margaret St, 1st Floor, London",4.8,(100+)
"['strength training', ' pilates', ' …']",True,F.I.T.T STUDIO,"26 Aylmer Parade, London",5.0,(100+)
"['strength training', ' cycling', ' …']",False,MyPT Studio,"40-44 St Georges Walk, Croydon",4.8,(1000+)
"['strength training', ' yoga', ' …']",False,YMCA Club,"YMCA Club, London",4.4,(2500+)
"['strength training', ' boxing', ' …']",False,Stars Gym,"Hester Rd 8, 5, Albion Riverside Building,, London",4.7,(2500+)
"['pilates', ' yoga']",True,Canada Water Studios,"40 Surrey Quays Rd, Canada Water Studios, Vancouver House, London",4.6,(2500+)
"['pilates', ' yoga', ' …']",True,Studio Fid,"Ride Republic 709 Fulham Rd, London",4.8,(100+)
"['pilates', ' low-impact training']",True,Club Pilates,"20 Great Guildford Street, London",4.7,(100+)
"['meditation', ' yoga', ' …']",False,SANCTUM,"Holy Trinity Church, Prince Consort Road, South Kensington, London",4.9,(100+)
"['gym time', ' strength training', ' …']",False,Wembley Fitness,"341 High Road, Wembley",4.7,(100+)
['pilates'],True,NY Pilates Studio London,"253 Kilburn Lane, Unit 2, The Linen House, London",4.7,(1000+)
"['gym time', ' strength training', ' …']",False,Kings Sport & Wellness Gym,"King's College London, 135 Borough High Street, London",4.6,(500+)
['pilates'],True,Better Flow,"Hackney Road, London",5.0,(500+)
"['pilates', ' stretching']",True,Club Pilates,"423 North End Road, London",4.7,(100+)
"['strength training', ' dance', ' …']",False,Anytime Fitness,"222 Fulham Road, London",4.7,(1000+)
"['yoga', ' pilates', ' …']",True,Temple of Strength,"21 High Street, London",4.8,(500+)
"['strength training', ' cycling', ' …']",False,Jubilee Hall Gym,"The Piazza, 1-7 Covent Garden, London",4.4,(2500+)
"['yoga', ' pilates', ' …']",True,Alcheme Wellbeing,"23-25 Brighton Road, Surbiton",4.8,(100+)
"['pilates', ' strength training', ' …']",True,Clifford Studios,"173-175 Church Road, London",4.8,(100+)
['pilates'],True,Vivo Pilates,"Unit 208 Harbour Yard, Chelsea Harbour, London",5.0,(100+)
"['strength training', ' pilates', ' …']",True,FitBirds,"Quakers Meeting House 34 Sunderland Road, London",5.0,(100+)
